time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.312243	0	0	0	lidar	5.5533e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.46878	0.450855	5.84799	-1.48011e-17	4.98055e-18	radar	41.646	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.14916	0.494376	5.84702	-0.0549776	-0.00488508	lidar	10.482	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27532	0.52498	5.83691	0.122276	0.0218286	radar	1.80822	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.59368	0.585118	5.85191	0.162512	0.0320648	lidar	1.59798	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.83461	0.56846	5.67779	0.0577207	-0.02107	radar	1.01085	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13901	0.604224	5.68939	0.0757494	-0.00148475	lidar	1.34172	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.35712	0.645612	5.37499	0.103513	-0.0291021	radar	3.54463	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63054	0.671233	5.38394	0.097931	-0.0398455	lidar	0.205305	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89865	0.664891	5.35902	0.0561412	-0.162371	radar	0.225482	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.13285	0.668328	5.32323	0.0445279	-0.173781	lidar	5.28412	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42098	0.569731	5.36961	-0.0967891	-0.571683	radar	2.21129	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72692	0.465898	5.44742	-0.216864	-0.830213	lidar	16.9096	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.00589	0.536985	5.47371	-0.102986	-0.401956	radar	3.27045	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.28117	0.52947	5.46759	-0.100366	-0.346076	lidar	1.03385	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53931	0.566927	5.3608	-0.0584445	-0.21343	radar	1.392	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72318	0.678781	5.17465	0.0489368	0.0374105	lidar	66.1861	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97482	0.676399	5.08171	0.0375847	0.0123922	radar	1.39287	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27662	0.667675	5.16103	0.0208714	-0.0202091	lidar	22.7409	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53704	0.673358	5.25225	0.0216643	-0.0169609	radar	1.77834	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
